INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160831933/2016,M-4295-UF,10/01/1997,CITROEN C15,VS7VDPG0011PG4720,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/11/2016,"['0103-L', '0202-L', '0401-L', '0401-L', '0804-L', '0901-L']"
160831934/2016,0827-FKZ,01/02/2007,PEUGEOT PARTNER,VF3GJWJYB95249544,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0209-G', '0804-L']"
160831935/2016,5444-DFJ,07/01/2005,RENAULT MODUS,VF1JP0J0533005132,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0402-G', '0403-G', '0405-G', '0407-G', '0901-L']"
160831936/2016,6932-CYN,23/07/2004,CITROEN C3,VF7FC8HXB27042071,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0904-L']
160831937/2016,5721-BHX,26/04/2001,CITROEN BERLINGO 1.9D,VF7MFWJZF65591849,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0703-G', '0703-G', '0705-L', '0803-G']"
160831938/2016,9863-FYB,05/12/2007,IVECO 35S14,ZCFC35A600D371136,2400,001,1,02/05/2016,2,008,14,001,16,004,17,001,21,DF.LEV,02/05/2017,"['0103-L', '0601-L']"
160831939/2016,7435-FXL,19/11/2007,MERCEDES BENZ R 320 CDI,WDC2511221A066493,1000,002,2,02/05/2016,2,006,999,,,,,,,DF.LEV,02/05/2018,['0202-L']
160831940/2016,0189-FCN,06/07/2006,BMW SERIE 5 530D,WBANC71060B636539,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,FAVOR.,02/05/2017,['']
160831941/2016,3180-FZP,31/01/2008,KIA SORENTO,KNEJC524585801566,1000,001,1,02/05/2016,1,008,14,004,12,004,17,002,22,DF.LEV,02/05/2018,['0407-L']
160831942/2016,6245-CGZ,25/04/2003,OPEL VECTRA-C-CC,W0L0ZCF6838088690,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DESFA.,00/00/0000,"['0401-L', '0803-G', '0803-G', '0901-L']"
160831943/2016,8206-BGT,21/03/2001,AUDI A3 1.9 TDI 6V,WAUZZZ8LZ1A071987,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DF.LEV,02/05/2017,['0103-L']
160831944/2016,8060-DCJ,04/11/2004,NISSAN ATLEON,VWAWDFTK043417853,2127,001,1,02/05/2016,2,006,14,001,16,004,17,001,22,DF.LEV,02/11/2016,"['0202-L', '0202-L']"
160831945/2016,9949-CGK,02/04/2003,RENAULT LAGUNA,VF1BG0K0528188026,1000,001,1,02/05/2016,1,008,14,002,12,002,17,002,22,FAVOR.,02/05/2017,['']
160831946/2016,9202-BLH,06/07/2001,FORD FOCUS,WF0AXXWPDA1M35740,1000,001,1,02/05/2016,1,008,14,004,17,004,12,004,22,FAVOR.,02/05/2017,['']
160831947/2016,8141-DZS,24/05/2006,PEUGEOT 207 5P,VF3WC8HZC33381510,1000,001,1,02/05/2016,1,006,14,002,12,004,17,002,22,DF.LEV,24/05/2017,['0901-L']
160831948/2016,7806-GTN,24/02/2010,DODGE JOURNEY,3D4PG5FY0AT154977,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,FAVOR.,02/05/2018,['']
160831949/2016,2131-BYL,29/07/2002,AUDI A6,WAUZZZ4BZYN017919,1000,001,1,02/05/2016,1,006,14,002,12,004,17,002,22,DF.LEV,02/05/2017,"['0401-L', '0601-L', '0901-L']"
160831950/2016,5223-FCJ,28/04/2004,FIAT SUN LINER,ZFA24400007214263,3200,001,1,02/05/2016,2,008,14,001,16,004,17,001,21,FAVOR.,02/05/2017,['']
160831951/2016,6822-GLH,08/09/2000,MERCEDES BENZ C 220 CDI,WDB2030061A043023,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DESFA.,00/00/0000,"['0803-G', '0804-G', '0901-L', '0904-L']"
160831952/2016,3940-GSF,07/12/2009,CITROEN C4 HDI,VF7LC9HZC9Y580611,1000,001,1,02/05/2016,1,008,14,004,12,004,17,002,22,DF.LEV,02/05/2018,['0401-L']
160831953/2016,TO-1624-AD,21/06/1999,CHRYSLER 300M,1C3HEB6G7XH712364,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DF.LEV,02/05/2017,"['0103-L', '0406-L', '0407-L', '0901-L']"
